geno	condition	lab	"total number
of leaves"
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	12
myc2	NCM	myc2_NCM	14
myc2	NCM	myc2_NCM	12
myc2	NCM	myc2_NCM	16
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	15
myc2	NCM	myc2_NCM	14
myc2	NCM	myc2_NCM	15
myc2	NCM	myc2_NCM	12
myc2	NCM	myc2_NCM	10
myc2	NCM	myc2_NCM	10
myc2	NCM	myc2_NCM	12
myc2	NCM	myc2_NCM	12
myc2	NCM	myc2_NCM	13
myc2	NCM	myc2_NCM	11
myc2	NCM	myc2_NCM	11
myc2	NC	myc2_NC	11
myc2	NC	myc2_NC	16
myc2	NC	myc2_NC	15
myc2	NC	myc2_NC	13
myc2	NC	myc2_NC	15
myc2	NC	myc2_NC	14
myc2	NC	myc2_NC	13
myc2	NC	myc2_NC	14
myc2	NC	myc2_NC	11
myc2	NC	myc2_NC	12
myc2	NC	myc2_NC	14
myc2	NC	myc2_NC	11
myc2	NC	myc2_NC	14
myc2	NC	myc2_NC	10
myc2	NC	myc2_NC	5
myc2	NC	myc2_NC	10
myc2	NC	myc2_NC	15
myc2	NC	myc2_NC	12
myc2	NC	myc2_NC	14
myc2	NC	myc2_NC	12
myc2	NC	myc2_NC	10
myc2	NC	myc2_NC	11
myc2	NC	myc2_NC	10
myc2	NC	myc2_NC	9
myc2	NC	myc2_NC	15
myc2	NC	myc2_NC	13
myc2	LPM	myc2_LPM	10
myc2	LPM	myc2_LPM	9
myc2	LPM	myc2_LPM	7
myc2	LPM	myc2_LPM	9
myc2	LPM	myc2_LPM	10
myc2	LPM	myc2_LPM	11
myc2	LPM	myc2_LPM	9
myc2	LPM	myc2_LPM	12
myc2	LPM	myc2_LPM	11
myc2	LPM	myc2_LPM	9
myc2	LPM	myc2_LPM	11
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	12
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	11
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	9
myc2	LPM	myc2_LPM	11
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	8
myc2	LPM	myc2_LPM	7
myc2	LP	myc2_LP	10
myc2	LP	myc2_LP	12
myc2	LP	myc2_LP	11
myc2	LP	myc2_LP	11
myc2	LP	myc2_LP	11
myc2	LP	myc2_LP	10
myc2	LP	myc2_LP	10
myc2	LP	myc2_LP	11
myc2	LP	myc2_LP	10
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	9
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	8
myc2	LP	myc2_LP	7
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	10
jazq	NCM	jazq_NCM	10
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	6
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	10
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	10
jazq	NCM	jazq_NCM	7
jazq	NCM	jazq_NCM	8
jazq	NCM	jazq_NCM	9
jazq	NCM	jazq_NCM	9
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	7
jazq	NC	jazq_NC	10
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	10
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	8
jazq	NC	jazq_NC	10
jazq	NC	jazq_NC	10
jazq	NC	jazq_NC	8
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	8
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	8
jazq	NC	jazq_NC	7
jazq	NC	jazq_NC	8
jazq	NC	jazq_NC	7
jazq	NC	jazq_NC	6
jazq	NC	jazq_NC	5
jazq	NC	jazq_NC	6
jazq	NC	jazq_NC	7
jazq	NC	jazq_NC	9
jazq	NC	jazq_NC	9
jazq	LPM	jazq_LPM	6
jazq	LPM	jazq_LPM	7
jazq	LPM	jazq_LPM	5
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	5
jazq	LPM	jazq_LPM	5
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	6
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	5
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	7
jazq	LPM	jazq_LPM	6
jazq	LPM	jazq_LPM	6
jazq	LPM	jazq_LPM	8
jazq	LPM	jazq_LPM	7
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	5
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	7
jazq	LP	jazq_LP	6
jazq	LP	jazq_LP	8
jazq	LP	jazq_LP	7
dellap	NCM	dellap_NCM	17
dellap	NCM	dellap_NCM	17
dellap	NCM	dellap_NCM	16
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	15
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	14
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	13
dellap	NCM	dellap_NCM	12
dellap	NCM	dellap_NCM	11
dellap	NCM	dellap_NCM	10
dellap	NCM	dellap_NCM	9
dellap	NCM	dellap_NCM	9
dellap	NC	dellap_NC	18
dellap	NC	dellap_NC	16
dellap	NC	dellap_NC	15
dellap	NC	dellap_NC	15
dellap	NC	dellap_NC	15
dellap	NC	dellap_NC	14
dellap	NC	dellap_NC	14
dellap	NC	dellap_NC	14
dellap	NC	dellap_NC	14
dellap	NC	dellap_NC	14
dellap	NC	dellap_NC	13
dellap	NC	dellap_NC	13
dellap	NC	dellap_NC	13
dellap	NC	dellap_NC	12
dellap	NC	dellap_NC	12
dellap	NC	dellap_NC	12
dellap	NC	dellap_NC	12
dellap	NC	dellap_NC	12
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	11
dellap	NC	dellap_NC	10
dellap	NC	dellap_NC	10
dellap	NC	dellap_NC	9
dellap	LPM	dellap_LPM	12
dellap	LPM	dellap_LPM	12
dellap	LPM	dellap_LPM	11
dellap	LPM	dellap_LPM	11
dellap	LPM	dellap_LPM	11
dellap	LPM	dellap_LPM	11
dellap	LPM	dellap_LPM	11
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	14
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	14
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	10
dellap	LPM	dellap_LPM	9
dellap	LPM	dellap_LPM	9
dellap	LPM	dellap_LPM	16
dellap	LPM	dellap_LPM	13
dellap	LPM	dellap_LPM	15
dellap	LPM	dellap_LPM	15
dellap	LPM	dellap_LPM	13
dellap	LPM	dellap_LPM	15
