lab	shootfreshweight	condition	rep	geno	lab1
SC_M	0.0266	D	V	col0	col0_SC_M
SC_M	0.0302	D	V	col0	col0_SC_M
SC_M	0.0173	D	V	col0	col0_SC_M
SC_M	0.0144	D	V	col0	col0_SC_M
NC_M	0.0708	B	V	myc2	myc2_NC_M
NC_M	0.0683	B	V	myc2	myc2_NC_M
NC_M	0.036	B	V	myc2	myc2_NC_M
NC_M	0.1271	B	V	myc2	myc2_NC_M
NC_M	0.0433	B	V	myc2	myc2_NC_M
NC_M	0.0119	B	V	myc2	myc2_NC_M
NC_M	0.0344	B	V	myc2	myc2_NC_M
NC_M	0.0278	B	V	myc2	myc2_NC_M
NC_M	0.0231	B	V	myc2	myc2_NC_M
SC_M	0.0118	D	V	myc2	myc2_SC_M
SC_M	0.0136	D	V	myc2	myc2_SC_M
SC_M	0.0128	D	V	myc2	myc2_SC_M
SC_M	0.0081	D	V	myc2	myc2_SC_M
SC_M	0.0126	D	V	myc2	myc2_SC_M
SC_M	0.0103	D	V	myc2	myc2_SC_M
SC_M	0.0065	D	V	myc2	myc2_SC_M
SC_M	0.0075	D	V	myc2	myc2_SC_M
SC_M	0.0161	D	V	myc2	myc2_SC_M
NC_M	0.0228	B	V	bri1	bri1_NC_M
NC_M	0.0317	B	V	bri1	bri1_NC_M
NC_M	0.043	B	V	bri1	bri1_NC_M
NC_M	0.0215	B	V	bri1	bri1_NC_M
NC_M	0.0243	B	V	bri1	bri1_NC_M
NC_M	0.0271	B	V	bri1	bri1_NC_M
NC_M	0.0214	B	V	bri1	bri1_NC_M
NC_M	0.0121	B	V	bri1	bri1_NC_M
NC_M	0.0105	B	V	bri1	bri1_NC_M
SC_M	0.004	D	V	bri1	bri1_SC_M
SC_M	0.0023	D	V	bri1	bri1_SC_M
SC_M	0.0045	D	V	bri1	bri1_SC_M
SC_M	0.0029	D	V	bri1	bri1_SC_M
SC_M	0.007	D	V	bri1	bri1_SC_M
SC_M	0.002	D	V	bri1	bri1_SC_M
SC_M	0.0039	D	V	bri1	bri1_SC_M
SC_M	0.005	D	V	bri1	bri1_SC_M
SC_M	0.0048	D	V	bri1	bri1_SC_M
NC_M	0.0452	B	V	della	della_NC_M
NC_M	0.0326	B	V	della	della_NC_M
NC_M	0.1428	B	V	della	della_NC_M
NC_M	0.051	B	V	della	della_NC_M
NC_M	0.0571	B	V	della	della_NC_M
NC_M	0.0558	B	V	della	della_NC_M
NC_M	0.0883	B	V	della	della_NC_M
NC_M	0.0505	B	V	della	della_NC_M
NC_M	0.0256	B	V	della	della_NC_M
SC_M	0.0365	D	V	della	della_SC_M
SC_M	0.0596	D	V	della	della_SC_M
SC_M	0.0353	D	V	della	della_SC_M
SC_M	0.0369	D	V	della	della_SC_M
SC_M	0.0392	D	V	della	della_SC_M
SC_M	0.0462	D	V	della	della_SC_M
SC_M	0.0315	D	V	della	della_SC_M
SC_M	0.016	D	V	della	della_SC_M
SC_M	0.0254	D	V	della	della_SC_M
NC_M	0.0562	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.025	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.0288	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.0577	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.0097	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.0642	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.1138	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.1292	B	V	cry1cry2	cry1cry2_NC_M
NC_M	0.0128	B	V	cry1cry2	cry1cry2_NC_M
SC_M	0.0165	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0122	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0041	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0047	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0137	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0072	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.011	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0099	D	V	cry1cry2	cry1cry2_SC_M
SC_M	0.0047	D	V	cry1cry2	cry1cry2_SC_M
NC_M	0.0156	B	V	sid2	sid2_NC_M
NC_M	0.0184	B	V	sid2	sid2_NC_M
NC_M	0.0419	B	V	sid2	sid2_NC_M
NC_M	0.0346	B	V	sid2	sid2_NC_M
NC_M	0.0329	B	V	sid2	sid2_NC_M
NC_M	0.0117	B	V	sid2	sid2_NC_M
NC_M	0.0329	B	V	sid2	sid2_NC_M
NC_M	0.0163	B	V	sid2	sid2_NC_M
NC_M	0.0187	B	V	sid2	sid2_NC_M
SC_M	0.0244	D	V	sid2	sid2_SC_M
SC_M	0.0198	D	V	sid2	sid2_SC_M
SC_M	0.0194	D	V	sid2	sid2_SC_M
SC_M	0.0124	D	V	sid2	sid2_SC_M
SC_M	0.0184	D	V	sid2	sid2_SC_M
SC_M	0.0188	D	V	sid2	sid2_SC_M
SC_M	0.0066	D	V	sid2	sid2_SC_M
SC_M	0.017	D	V	sid2	sid2_SC_M
SC_M	0.0148	D	V	sid2	sid2_SC_M
NC	0.0706	A	VI	myc2	myc2_NC
NC	0.0392	A	VI	myc2	myc2_NC
NC	0.0405	A	VI	myc2	myc2_NC
NC	0.0455	A	VI	myc2	myc2_NC
NC	0.069	A	VI	myc2	myc2_NC
NC	0.0749	A	VI	myc2	myc2_NC
NC	0.0483	A	VI	myc2	myc2_NC
NC	0.0684	A	VI	myc2	myc2_NC
NC	0.0612	A	VI	myc2	myc2_NC
SC	0.0241	C	VI	myc2	myc2_SC
SC	0.0231	C	VI	myc2	myc2_SC
SC	0.0215	C	VI	myc2	myc2_SC
SC	0.0508	C	VI	myc2	myc2_SC
SC	0.0234	C	VI	myc2	myc2_SC
