geno	condition	lab	leaf length	leaf width	y
sid2	LPM	sid2_LPM	0.5640 	0.4400 	1.281818182
sid2	LPM	sid2_LPM	0.5620 	0.4250 	1.322352941
sid2	LPM	sid2_LPM	0.5600 	0.4810 	1.164241164
sid2	LPM	sid2_LPM	0.5600 	0.4180 	1.339712919
sid2	LPM	sid2_LPM	0.5600 	0.4180 	1.339712919
sid2	LPM	sid2_LPM	0.5600 	0.3560 	1.573033708
sid2	LPM	sid2_LPM	0.5580 	0.3830 	1.45691906
sid2	LPM	sid2_LPM	0.5540 	0.5260 	1.053231939
sid2	LPM	sid2_LPM	0.5510 	0.4410 	1.249433107
sid2	LPM	sid2_LPM	0.5460 	0.4330 	1.260969977
sid2	LPM	sid2_LPM	0.5450 	0.3520 	1.548295455
sid2	LPM	sid2_LPM	0.5450 	0.4190 	1.30071599
sid2	LPM	sid2_LPM	0.5390 	0.6460 	0.834365325
sid2	LPM	sid2_LPM	0.5350 	0.4260 	1.255868545
sid2	LPM	sid2_LPM	0.5310 	0.4610 	1.151843818
sid2	LPM	sid2_LPM	0.5270 	0.3160 	1.667721519
sid2	LPM	sid2_LPM	0.5230 	0.4600 	1.136956522
sid2	LPM	sid2_LPM	0.5220 	0.3960 	1.318181818
sid2	LPM	sid2_LPM	0.5130 	0.3020 	1.698675497
sid2	LPM	sid2_LPM	0.5120 	0.4070 	1.257985258
sid2	LPM	sid2_LPM	0.5090 	0.6960 	0.731321839
sid2	LPM	sid2_LPM	0.5030 	0.7270 	0.691884457
sid2	LPM	sid2_LPM	0.5010 	0.4070 	1.230958231
sid2	LPM	sid2_LPM	0.4880 	0.3530 	1.382436261
sid2	LPM	sid2_LPM	0.4810 	0.4450 	1.080898876
sid2	LPM	sid2_LPM	0.4750 	0.3520 	1.349431818
sid2	LPM	sid2_LPM	0.4750 	0.3940 	1.205583756
sid2	LPM	sid2_LPM	0.4730 	0.3450 	1.371014493
sid2	LPM	sid2_LPM	0.4720 	0.2650 	1.781132075
sid2	LPM	sid2_LPM	0.4720 	0.3310 	1.425981873
sid2	LPM	sid2_LPM	0.4590 	0.3170 	1.447949527
sid2	LPM	sid2_LPM	0.4550 	0.4810 	0.945945946
sid2	LPM	sid2_LPM	0.4520 	0.4150 	1.089156627
sid2	LPM	sid2_LPM	0.4520 	0.4380 	1.03196347
sid2	LPM	sid2_LPM	0.4500 	0.3390 	1.327433628
sid2	LPM	sid2_LPM	0.4470 	0.3830 	1.167101828
sid2	LPM	sid2_LPM	0.4400 	0.3340 	1.317365269
sid2	LPM	sid2_LPM	0.4390 	0.2670 	1.644194757
sid2	LPM	sid2_LPM	0.4340 	0.3240 	1.339506173
sid2	LPM	sid2_LPM	0.4310 	0.4660 	0.924892704
sid2	LPM	sid2_LPM	0.4280 	0.3200 	1.3375
sid2	LPM	sid2_LPM	0.4130 	0.2950 	1.4
sid2	LPM	sid2_LPM	0.4120 	0.3670 	1.122615804
sid2	LPM	sid2_LPM	0.4070 	0.3110 	1.308681672
sid2	LPM	sid2_LPM	0.4040 	0.3320 	1.21686747
sid2	LPM	sid2_LPM	0.4040 	0.3170 	1.27444795
sid2	LPM	sid2_LPM	0.4040 	0.3420 	1.18128655
sid2	LPM	sid2_LPM	0.4030 	0.3190 	1.263322884
sid2	LPM	sid2_LPM	0.4010 	0.2800 	1.432142857
sid2	LPM	sid2_LPM	0.3990 	0.3220 	1.239130435
sid2	LPM	sid2_LPM	0.3870 	0.2140 	1.808411215
sid2	LPM	sid2_LPM	0.3870 	0.3070 	1.260586319
sid2	LPM	sid2_LPM	0.3850 	0.3140 	1.22611465
sid2	LPM	sid2_LPM	0.3840 	0.4260 	0.901408451
sid2	LPM	sid2_LPM	0.3830 	0.2750 	1.392727273
sid2	LPM	sid2_LPM	0.3800 	0.3160 	1.202531646
sid2	LPM	sid2_LPM	0.3770 	0.3620 	1.041436464
sid2	LPM	sid2_LPM	0.3720 	0.2800 	1.328571429
sid2	LPM	sid2_LPM	0.3660 	0.2680 	1.365671642
sid2	LPM	sid2_LPM	0.3630 	0.5020 	0.72310757
sid2	LPM	sid2_LPM	0.3580 	0.3440 	1.040697674
sid2	LPM	sid2_LPM	0.3560 	0.2970 	1.198653199
sid2	LPM	sid2_LPM	0.3520 	0.2400 	1.466666667
sid2	LPM	sid2_LPM	0.3430 	0.2480 	1.383064516
sid2	LPM	sid2_LPM	0.3410 	0.3290 	1.036474164
sid2	LPM	sid2_LPM	0.3400 	0.2900 	1.172413793
sid2	LPM	sid2_LPM	0.3390 	0.2650 	1.279245283
sid2	LPM	sid2_LPM	0.3380 	0.4470 	0.756152125
sid2	LPM	sid2_LPM	0.3380 	0.4470 	0.756152125
sid2	LPM	sid2_LPM	0.3350 	0.2810 	1.192170819
sid2	LPM	sid2_LPM	0.3310 	0.2650 	1.249056604
sid2	LPM	sid2_LPM	0.3300 	0.2230 	1.479820628
sid2	LPM	sid2_LPM	0.3290 	0.3540 	0.929378531
sid2	LPM	sid2_LPM	0.3280 	0.2920 	1.123287671
sid2	LPM	sid2_LPM	0.3260 	0.2460 	1.325203252
sid2	LPM	sid2_LPM	0.3250 	0.3340 	0.973053892
sid2	LPM	sid2_LPM	0.3240 	0.2670 	1.213483146
sid2	LPM	sid2_LPM	0.3230 	0.3230 	1
sid2	LPM	sid2_LPM	0.3230 	0.2450 	1.318367347
sid2	LPM	sid2_LPM	0.3220 	0.2240 	1.4375
sid2	LPM	sid2_LPM	0.3210 	0.3040 	1.055921053
sid2	LPM	sid2_LPM	0.3210 	0.3150 	1.019047619
sid2	LPM	sid2_LPM	0.3180 	0.2250 	1.413333333
sid2	LPM	sid2_LPM	0.3170 	0.2430 	1.304526749
sid2	LPM	sid2_LPM	0.3150 	0.2890 	1.089965398
sid2	LPM	sid2_LPM	0.3140 	0.2180 	1.440366972
sid2	LPM	sid2_LPM	0.3140 	0.3100 	1.012903226
sid2	LPM	sid2_LPM	0.3110 	0.2310 	1.346320346
sid2	LPM	sid2_LPM	0.3070 	0.3060 	1.003267974
sid2	LPM	sid2_LPM	0.3050 	0.2830 	1.077738516
sid2	LPM	sid2_LPM	0.3050 	0.2750 	1.109090909
sid2	LPM	sid2_LPM	0.3040 	0.2250 	1.351111111
sid2	LPM	sid2_LPM	0.3030 	0.3030 	1
sid2	LPM	sid2_LPM	0.3030 	0.2050 	1.47804878
sid2	LPM	sid2_LPM	0.3030 	0.2050 	1.47804878
sid2	LPM	sid2_LPM	0.3020 	0.1880 	1.606382979
sid2	LPM	sid2_LPM	0.3000 	0.2190 	1.369863014
sid2	LPM	sid2_LPM	0.2970 	0.1960 	1.515306122
sid2	LPM	sid2_LPM	0.2970 	0.2260 	1.314159292
sid2	LPM	sid2_LPM	0.2960 	0.1940 	1.525773196
sid2	LPM	sid2_LPM	0.2950 	0.2400 	1.229166667
sid2	LPM	sid2_LPM	0.2930 	0.2800 	1.046428571
sid2	LPM	sid2_LPM	0.2910 	0.3200 	0.909375
sid2	LPM	sid2_LPM	0.2900 	0.2530 	1.146245059
sid2	LPM	sid2_LPM	0.2900 	0.2250 	1.288888889
sid2	LPM	sid2_LPM	0.2870 	0.2260 	1.269911504
sid2	LPM	sid2_LPM	0.2810 	0.2170 	1.294930876
sid2	LPM	sid2_LPM	0.2810 	0.1940 	1.448453608
sid2	LPM	sid2_LPM	0.2760 	0.1850 	1.491891892
sid2	LPM	sid2_LPM	0.2760 	0.1800 	1.533333333
sid2	LPM	sid2_LPM	0.2710 	0.2240 	1.209821429
sid2	LPM	sid2_LPM	0.2660 	0.1960 	1.357142857
sid2	LPM	sid2_LPM	0.2630 	0.2450 	1.073469388
sid2	LPM	sid2_LPM	0.2620 	0.1580 	1.658227848
sid2	LPM	sid2_LPM	0.2610 	0.1220 	2.139344262
sid2	LPM	sid2_LPM	0.2590 	0.2150 	1.204651163
sid2	LPM	sid2_LPM	0.2570 	0.2120 	1.212264151
sid2	LPM	sid2_LPM	0.2550 	0.2490 	1.024096386
sid2	LPM	sid2_LPM	0.2520 	0.2370 	1.063291139
sid2	LPM	sid2_LPM	0.2510 	0.2230 	1.125560538
sid2	LPM	sid2_LPM	0.2430 	0.1160 	2.094827586
sid2	LPM	sid2_LPM	0.2410 	0.2500 	0.964
sid2	LPM	sid2_LPM	0.2390 	0.2760 	0.865942029
sid2	LPM	sid2_LPM	0.2330 	0.1750 	1.331428571
sid2	LPM	sid2_LPM	0.2310 	0.1570 	1.47133758
sid2	LPM	sid2_LPM	0.2290 	0.2180 	1.050458716
sid2	LPM	sid2_LPM	0.2290 	0.2430 	0.942386831
sid2	LPM	sid2_LPM	0.2290 	0.2020 	1.133663366
sid2	LPM	sid2_LPM	0.2280 	0.1800 	1.266666667
sid2	LPM	sid2_LPM	0.2250 	0.2270 	0.991189427
sid2	LPM	sid2_LPM	0.2250 	0.2280 	0.986842105
sid2	LPM	sid2_LPM	0.2240 	0.1590 	1.408805031
sid2	LPM	sid2_LPM	0.2210 	0.1880 	1.175531915
sid2	LPM	sid2_LPM	0.2120 	0.2000 	1.06
sid2	LPM	sid2_LPM	0.2110 	0.1770 	1.192090395
sid2	LPM	sid2_LPM	0.2100 	0.1890 	1.111111111
sid2	LPM	sid2_LPM	0.2080 	0.1750 	1.188571429
sid2	LPM	sid2_LPM	0.2070 	0.1630 	1.26993865
sid2	LPM	sid2_LPM	0.2070 	0.2050 	1.009756098
sid2	LPM	sid2_LPM	0.2070 	0.1630 	1.26993865
sid2	LPM	sid2_LPM	0.2060 	0.1650 	1.248484848
sid2	LPM	sid2_LPM	0.2060 	0.1920 	1.072916667
sid2	LPM	sid2_LPM	0.2050 	0.1950 	1.051282051
sid2	LPM	sid2_LPM	0.2050 	0.1600 	1.28125
sid2	LPM	sid2_LPM	0.2030 	0.2020 	1.004950495
sid2	LPM	sid2_LPM	0.2030 	0.1780 	1.140449438
sid2	LPM	sid2_LPM	0.2010 	0.2020 	0.995049505
sid2	LPM	sid2_LPM	0.2010 	0.1760 	1.142045455
