lab	canopysize	rep	geno	light	lab1
NC	4.03	IV	sav	NC	NC_sav
NC	2.575	IV	sav	NC	NC_sav
NC	1.998	IV	sav	NC	NC_sav
NC	1.616	IV	sav	NC	NC_sav
NC	1.738	IV	sav	NC	NC_sav
NC	1.55	IV	sav	NC	NC_sav
NC+M	1.861	IV	sav	NC	NC+M_sav
NC+M	1.9	IV	sav	NC	NC+M_sav
NC+M	0.995	IV	sav	NC	NC+M_sav
NC+M	4.307	IV	sav	NC	NC+M_sav
NC+M	1.902	IV	sav	NC	NC+M_sav
NC+M	1.053	IV	sav	NC	NC+M_sav
NC+M	2.886	IV	sav	NC	NC+M_sav
NC+M	3.88	IV	sav	NC	NC+M_sav
NC+M	1.001	IV	sav	NC	NC+M_sav
LP	1.609	IV	sav	LP	LP_sav
LP	2.29	IV	sav	LP	LP_sav
LP	1.874	IV	sav	LP	LP_sav
LP	1.675	IV	sav	LP	LP_sav
LP	1.745	IV	sav	LP	LP_sav
LP	1.283	IV	sav	LP	LP_sav
LP	2.161	IV	sav	LP	LP_sav
LP	1.967	IV	sav	LP	LP_sav
LP	1.667	IV	sav	LP	LP_sav
LP+M	1.43	IV	sav	LP	LP+M_sav
LP+M	1.818	IV	sav	LP	LP+M_sav
LP+M	1.262	IV	sav	LP	LP+M_sav
LP+M	2.602	IV	sav	LP	LP+M_sav
LP+M	0.945	IV	sav	LP	LP+M_sav
LP+M	1.748	IV	sav	LP	LP+M_sav
LP+M	1.897	IV	sav	LP	LP+M_sav
LP+M	1.893	IV	sav	LP	LP+M_sav
LP+M	2.408	IV	sav	LP	LP+M_sav
NC	3.916	V	col0	NC	NC_col0
NC	2.66	V	col0	NC	NC_col0
NC	1.824	V	col0	NC	NC_col0
NC	2.268	V	col0	NC	NC_col0
NC	2.609	V	col0	NC	NC_col0
NC	1.756	V	col0	NC	NC_col0
NC	2.269	V	col0	NC	NC_col0
NC	2.743	V	col0	NC	NC_col0
NC	2.522	V	col0	NC	NC_col0
NC+M	2.315	V	col0	NC	NC+M_col0
NC+M	2.646	V	col0	NC	NC+M_col0
NC+M	3.118	V	col0	NC	NC+M_col0
NC+M	2.608	V	col0	NC	NC+M_col0
NC+M	2.74	V	col0	NC	NC+M_col0
NC+M	2.32	V	col0	NC	NC+M_col0
NC+M	2.493	V	col0	NC	NC+M_col0
NC+M	2.297	V	col0	NC	NC+M_col0
NC+M	2.848	V	col0	NC	NC+M_col0
LP	0.445	V	col0	LP	LP_col0
LP	0.468	V	col0	LP	LP_col0
LP	0.715	V	col0	LP	LP_col0
LP	0.944	V	col0	LP	LP_col0
LP	0.611	V	col0	LP	LP_col0
LP	0.866	V	col0	LP	LP_col0
LP	1.195	V	col0	LP	LP_col0
LP	0.564	V	col0	LP	LP_col0
LP	0.843	V	col0	LP	LP_col0
LP+M	2.09	V	col0	LP	LP+M_col0
LP+M	1.904	V	col0	LP	LP+M_col0
LP+M	1.117	V	col0	LP	LP+M_col0
LP+M	1.603	V	col0	LP	LP+M_col0
LP+M	2.91	V	col0	LP	LP+M_col0
LP+M	1.561	V	col0	LP	LP+M_col0
LP+M	2.005	V	col0	LP	LP+M_col0
LP+M	1.01	V	col0	LP	LP+M_col0
LP+M	1.048	V	col0	LP	LP+M_col0
NC	1.904	V	myc2	NC	NC_myc2
NC	3.887	V	myc2	NC	NC_myc2
NC	3.058	V	myc2	NC	NC_myc2
NC	3.986	V	myc2	NC	NC_myc2
NC	2.031	V	myc2	NC	NC_myc2
NC	2.381	V	myc2	NC	NC_myc2
NC	2.052	V	myc2	NC	NC_myc2
NC	4.044	V	myc2	NC	NC_myc2
NC	1.6	V	myc2	NC	NC_myc2
NC+M	1.472	V	myc2	NC	NC+M_myc2
NC+M	2.634	V	myc2	NC	NC+M_myc2
NC+M	4.405	V	myc2	NC	NC+M_myc2
NC+M	2.323	V	myc2	NC	NC+M_myc2
NC+M	4.432	V	myc2	NC	NC+M_myc2
NC+M	3.646	V	myc2	NC	NC+M_myc2
NC+M	1.045	V	myc2	NC	NC+M_myc2
NC+M	2.213	V	myc2	NC	NC+M_myc2
NC+M	2.538	V	myc2	NC	NC+M_myc2
LP	0.933	V	myc2	LP	LP_myc2
LP	1.782	V	myc2	LP	LP_myc2
LP	1.287	V	myc2	LP	LP_myc2
LP	1.364	V	myc2	LP	LP_myc2
LP	1.503	V	myc2	LP	LP_myc2
LP	1.196	V	myc2	LP	LP_myc2
LP	1.323	V	myc2	LP	LP_myc2
LP	0.671	V	myc2	LP	LP_myc2
LP	1.69	V	myc2	LP	LP_myc2
LP+M	1.224	V	myc2	LP	LP+M_myc2
LP+M	1.343	V	myc2	LP	LP+M_myc2
LP+M	0.968	V	myc2	LP	LP+M_myc2
LP+M	0.677	V	myc2	LP	LP+M_myc2
LP+M	1.02	V	myc2	LP	LP+M_myc2
LP+M	0.771	V	myc2	LP	LP+M_myc2
LP+M	1.177	V	myc2	LP	LP+M_myc2
LP+M	1.527	V	myc2	LP	LP+M_myc2
LP+M	1.296	V	myc2	LP	LP+M_myc2
NC	1.365	V	bri1	NC	NC_bri1
NC	1.71	V	bri1	NC	NC_bri1
NC	1.105	V	bri1	NC	NC_bri1
NC	1.213	V	bri1	NC	NC_bri1
NC	1.746	V	bri1	NC	NC_bri1
NC	0.899	V	bri1	NC	NC_bri1
NC	1.322	V	bri1	NC	NC_bri1
NC	2.572	V	bri1	NC	NC_bri1
NC	1.507	V	bri1	NC	NC_bri1
NC+M	2.191	V	bri1	NC	NC+M_bri1
NC+M	1.619	V	bri1	NC	NC+M_bri1
NC+M	2.882	V	bri1	NC	NC+M_bri1
NC+M	1.4	V	bri1	NC	NC+M_bri1
NC+M	3.052	V	bri1	NC	NC+M_bri1
NC+M	2.988	V	bri1	NC	NC+M_bri1
NC+M	0.847	V	bri1	NC	NC+M_bri1
NC+M	2.343	V	bri1	NC	NC+M_bri1
NC+M	2.287	V	bri1	NC	NC+M_bri1
LP	1.085	V	bri1	LP	LP_bri1
LP	1.071	V	bri1	LP	LP_bri1
LP	0.688	V	bri1	LP	LP_bri1
LP	0.939	V	bri1	LP	LP_bri1
LP	0.693	V	bri1	LP	LP_bri1
LP	1.36	V	bri1	LP	LP_bri1
LP	0.331	V	bri1	LP	LP_bri1
LP	0.683	V	bri1	LP	LP_bri1
LP	0.931	V	bri1	LP	LP_bri1
LP+M	0.34	V	bri1	LP	LP+M_bri1
LP+M	0.756	V	bri1	LP	LP+M_bri1
LP+M	0.566	V	bri1	LP	LP+M_bri1
LP+M	0.609	V	bri1	LP	LP+M_bri1
LP+M	0.941	V	bri1	LP	LP+M_bri1
LP+M	0.801	V	bri1	LP	LP+M_bri1
LP+M	1.028	V	bri1	LP	LP+M_bri1
LP+M	0.954	V	bri1	LP	LP+M_bri1
LP+M	1.322	V	bri1	LP	LP+M_bri1
NC	2.264	V	della	NC	NC_della
NC	3.459	V	della	NC	NC_della
NC	5.005	V	della	NC	NC_della
NC	3.34	V	della	NC	NC_della
NC	3.594	V	della	NC	NC_della
NC	2.985	V	della	NC	NC_della
NC	3.162	V	della	NC	NC_della
NC	5.864	V	della	NC	NC_della
NC	3.266	V	della	NC	NC_della
NC+M	3.568	V	della	NC	NC+M_della
NC+M	4.829	V	della	NC	NC+M_della
NC+M	4.824	V	della	NC	NC+M_della
NC+M	2.517	V	della	NC	NC+M_della
NC+M	4.129	V	della	NC	NC+M_della
NC+M	4.264	V	della	NC	NC+M_della
NC+M	3.266	V	della	NC	NC+M_della
NC+M	4.164	V	della	NC	NC+M_della
NC+M	3.624	V	della	NC	NC+M_della
LP	0.875	V	della	LP	LP_della
LP	1.309	V	della	LP	LP_della
LP	2.253	V	della	LP	LP_della
LP	0.87	V	della	LP	LP_della
LP	1.318	V	della	LP	LP_della
LP	1.881	V	della	LP	LP_della
LP	0.904	V	della	LP	LP_della
LP	1.051	V	della	LP	LP_della
LP	0.879	V	della	LP	LP_della
LP+M	3.138	V	della	LP	LP+M_della
LP+M	2.516	V	della	LP	LP+M_della
LP+M	3.256	V	della	LP	LP+M_della
LP+M	2.886	V	della	LP	LP+M_della
LP+M	2.896	V	della	LP	LP+M_della
LP+M	2.85	V	della	LP	LP+M_della
LP+M	2.63	V	della	LP	LP+M_della
LP+M	1.391	V	della	LP	LP+M_della
LP+M	2.129	V	della	LP	LP+M_della
NC	2.846	V	cry1cry2	NC	NC_cry1cry2
NC	3.573	V	cry1cry2	NC	NC_cry1cry2
NC	4.959	V	cry1cry2	NC	NC_cry1cry2
NC	3.262	V	cry1cry2	NC	NC_cry1cry2
NC	2.506	V	cry1cry2	NC	NC_cry1cry2
NC	1.377	V	cry1cry2	NC	NC_cry1cry2
NC	2.502	V	cry1cry2	NC	NC_cry1cry2
NC	1.608	V	cry1cry2	NC	NC_cry1cry2
NC	3.988	V	cry1cry2	NC	NC_cry1cry2
NC+M	3.942	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.958	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	1.879	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.335	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	4.856	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	1.624	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.565	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	1.847	V	cry1cry2	NC	NC+M_cry1cry2
NC+M	3.24	V	cry1cry2	NC	NC+M_cry1cry2
