NC_SF_M5	NC_SF_R7	LP_CAS_R2	LP_CAS_M4	NC_CAS_R9	NC_SF_M3	LP_SF_M9	LP_CAS_R4	NC_CAS_R3	NC_CAS_R5	LP_Heat_1	NC_SF_M2	LP_SF_R8	LP_SF_M1	NC_SF_M7	NC_CAS_R8	LP_SF_M3	NC_SF_M1	LP_SF_M8	NC_SF_M4	NC_SF_R1	LP_SF_R4	NC_CAS_M3	NC_CAS_M8	NC_SF_R6	LP_SF_M7	NC_SF_M9	LP_SF_R2	LP_SF_M4	LP_CAS_R7	NC_SF_M8	NC_CAS_M2	NC_SF_R2	NC_SF_R4	LP_Free_2	LP_CAS_M2	LP_CAS_M1	NC_CAS_R6	NC_CAS_R7	LP_CAS_R3	LP_SF_R9	LP_CAS_R8	NC_CAS_M4	LP_CAS_M3	LP_CAS_R1	LP_SF_R5	NC_CAS_R2	NC_CAS_R4	NC_SF_M6	NC_CAS_M1	NC_CAS_M9	NC_SF_R9	LP_SF_R1	NC_CAS_M6	NC_SF_R8	LP_CAS_M9	LP_CAS_M5	LP_CAS_R5	LP_SF_R6	NC_CAS_M7	LP_SF_M2	LP_SF_R7	LP_SF_M6	LP_CAS_M6	NC_SF_R5	NC_CAS_R1	LP_Free_1	LP_CAS_R6	NC_CAS_M5	LP_CAS_R9	LP_CAS_M8	NC_SF_R3	LP_CAS_M7	LP_Heat_2	NC_Free_2	NC_Heat_2	NC_Free_3	NC_Heat_3	LP_SF_M5	NC_Heat_1	LP_SF_R3	Free_Leaf_1	NC_Free_1	Free_Leaf_2	LP_Free_3	LP_Heat_3	Free_Leaf_3	H2O_2	H2O_3	H2O_1
Zotu434	0	0	1	134	1	0	0	0	1	2	0	3	0	0	0	0	0	1	0	0	0	0	168	91	0	0	0	0	0	5	0	81	0	1	0	163	181	2	0	2	0	4	118	102	2	0	1	0	0	132	53	0	0	68	0	101	151	4	0	81	0	0	0	110	0	1	0	0	62	1	67	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu223	0	0	4	327	1	51	0	7	0	6	0	104	0	0	0	1	2	74	0	0	0	0	292	244	0	0	1	0	0	14	0	246	0	0	0	324	317	2	7	5	0	20	321	270	8	0	1	1	0	285	145	0	0	157	0	271	409	1	0	180	2	0	1	347	0	0	0	2	173	6	168	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu54	54	130	43	109	470	118	90	19	311	1055	0	221	170	195	152	503	262	135	67	75	70	131	1133	10	304	78	191	172	89	21	190	946	64	319	0	9	5	485	320	35	202	17	38	3	47	173	236	857	54	1177	2	222	184	29	95	3	154	19	103	5	209	120	105	102	121	317	0	29	16	7	2	78	4	0	0	0	0	0	59	0	69	0	0	0	0	0	0	0	0	0
Zotu35	693	2648	107	38	35	2177	911	25	172	153	0	4189	1358	520	1208	35	700	3241	840	569	849	574	28	37	2743	642	2165	1411	1023	34	1718	26	931	3329	0	42	38	69	33	120	1694	28	52	53	160	724	118	131	811	23	17	3294	1318	37	1743	19	43	19	559	24	647	1086	1015	29	1676	142	0	24	20	18	21	1144	19	0	0	0	0	15	802	0	882	0	0	1	0	0	0	0	0	0
Zotu121	0	0	9	485	2	17	0	7	3	4	0	27	0	2	0	3	0	25	0	0	0	0	522	325	0	0	1	0	0	22	0	408	0	0	0	515	550	1	2	9	0	12	489	382	15	0	6	0	0	504	210	0	0	252	0	329	641	2	0	279	0	0	0	404	0	4	0	4	227	15	216	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14	1	182	1480	507	4835	34	1	2370	7020	4157	0	52	39	5	0	4579	1	45	2	2	79	41	1483	498	92	6	1	41	2	2476	0	1250	89	101	0	839	868	2679	3547	1695	43	2466	1254	637	1853	59	6065	3500	5	1550	296	196	36	617	106	361	541	2526	46	392	3	17	2	354	60	6560	0	2727	589	2348	260	105	237	0	0	0	0	2	0	0	29	0	0	0	0	0	0	0	0	0
Zotu28	723	912	0	1	10	810	322	0	1	10	0	1380	542	2464	530	2	2832	1175	345	582	320	324	4	0	739	246	781	676	602	0	598	0	297	995	0	2	2	12	5	0	622	0	6	1	0	384	1	7	733	0	0	1039	647	2	509	0	0	1	235	0	2577	475	650	1	456	0	0	0	2	0	0	348	0	0	0	0	0	7	434	0	388	0	0	0	0	0	0	0	0	0
Zotu12	164	159	6439	132	4418	263	77	2214	3026	3337	0	347	64	202	145	4521	235	264	59	132	24	44	519	425	472	46	181	118	60	9150	165	356	26	635	0	463	539	1621	2422	5831	78	8091	369	354	7489	52	2622	2616	150	452	274	156	140	210	86	269	148	2631	31	341	160	49	62	104	212	2961	0	2768	177	9219	181	28	139	0	0	0	0	5	35	0	29	0	0	0	0	0	0	0	0	0
Zotu944	0	2	12	57	1	5	1	3	0	5	0	16	1	0	0	0	0	14	1	0	0	2	62	36	13	1	0	2	31	8	2	44	2	13	0	58	71	1	0	21	2	1	109	55	24	1	1	1	0	60	33	0	4	43	0	37	72	8	2	44	0	0	28	48	3	0	0	10	66	1	32	1	33	0	0	0	0	0	32	0	2	0	0	0	0	0	0	0	0	0
Zotu2807	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	2	0	6	0	0	0	8	8	0	0	0	0	0	8	4	0	0	0	0	0	11	7	0	0	5	0	7	5	0	0	7	0	0	0	6	0	1	0	0	6	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
