NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01500	3.4491	3.5898	3.4267	5.128	4.6859	4.828	3.4299	3.3936	3.1324	5.1223	4.9859	5.1007	3.8018	4.0243	3.9129	5.2538	5.0651	5.0501	4.2346	4.0203	3.9879	5.3037	5.3597	5.3796
AT1G01510	5.7463	5.7201	5.9662	5.7383	5.6168	5.572	5.8555	5.9808	6.0045	5.5725	5.734	5.7513	5.8889	6.0229	6.056	5.7177	5.5582	5.5763	5.9416	5.8742	5.9045	5.8302	5.6609	5.7322
AT1G01520	-2.3323	-1.9759	-2.5308	4.5699	4.6899	4.7344	-2.2674	-4.0466	-2.5319	2.479	2.08	1.9532	-1.0129	-2.0804	-1.2164	4.4468	5.1886	4.3385	-2.5184	-2.2835	-1.5271	1.1932	1.6621	2.131
AT1G01540	5.3108	5.2866	5.3855	6.412	6.2748	6.2761	5.2829	5.4499	5.3358	6.0878	6.0976	6.222	5.1427	5.1493	5.1353	6.141	6.2426	6.1241	5.2469	5.2918	5.1996	6.4404	6.417	6.5732
AT1G01550	8.031	8.1237	8.0441	7.5519	7.6206	7.6236	7.8514	7.6635	7.7067	7.5876	7.6485	7.5754	8.1087	8.262	8.0387	7.8245	7.8654	7.8634	7.9202	7.7139	7.8655	7.6727	7.6578	7.5729
AT1G01560	2.9776	2.9001	2.41	0.3906	0.2897	0.6625	2.2837	2.1693	1.8003	-0.3994	-0.8195	-0.4571	2.8091	2.7033	2.7776	2.0493	2.6853	2.5383	1.2134	1.3185	1.122	0.3787	0.8501	0.5461
AT1G01570	1.8641	1.9484	1.9565	0.0088	0.6523	0.6625	1.929	1.8522	1.6033	0.8707	0.8377	1.0763	1.5373	1.8439	1.7222	0.1087	0.5518	-0.7347	2.0751	1.6773	1.6717	0.8062	0.6437	-0.2711
AT1G01580	6.96	6.7744	7.0158	1.1932	1.3102	1.221	8.7473	8.3531	8.1038	1.1856	-0.4324	0.8495	6.9399	7.201	6.916	1.7243	2.2317	1.1397	7.8518	7.6512	8.1764	0.947	1.1396	0.4659
AT1G01590	-5.5022	-5.4353	-5.3382	2.4642	2.0552	2.2648	-5.4374	-5.6316	-5.3392	0.7226	0.9064	0.6525	-5.4052	-3.9549	-5.1232	2.5208	1.8796	2.3918	-3.7408	-5.0909	-4.9865	1.8958	0.4876	0.4659
AT1G01600	3.9135	3.2892	4.364	2.3481	2.6116	2.6427	4.4222	4.1966	4.1222	2.408	2.6993	2.3062	2.9999	3.1431	3.3321	2.0733	2.338	2.0166	3.8764	3.9508	4.1909	2.8336	3.0794	3.1114
AT1G01610	6.0766	5.9703	6.2188	6.4243	6.3583	6.0752	5.859	5.5809	5.633	6.5691	6.7486	6.6387	6.2747	6.5506	6.5957	6.2091	6.3691	6.1633	6.7265	6.3041	6.3495	6.9475	6.967	7.0785
AT1G01620	8.9261	9.3392	9.1108	8.8111	8.4632	8.4269	8.6037	8.5537	8.7627	8.2641	8.3846	8.4302	9.798	9.8884	9.6932	8.5674	8.336	8.2534	9.5411	9.3288	9.4947	8.511	8.0805	8.1296
AT1G01630	5.28	5.3712	5.1386	6.1561	6.211	6.1957	5.4897	5.4698	5.5211	6.5279	6.5827	6.6016	5.3287	5.2225	5.3207	5.9251	6.0318	6.082	5.5252	5.4376	5.4842	6.8044	6.7295	6.836
AT1G01640	4.2873	4.4149	4.4514	0.1738	-0.0847	0.1665	4.2047	4.3328	4.3028	-0.0945	-0.8195	-1.0046	4.5152	4.6338	4.7851	-0.4532	-0.308	0.4877	4.5615	4.3788	4.5777	-1.0198	-0.1181	-0.2711
AT1G01650	6.1856	6.1501	6.1084	5.7016	5.6573	5.6501	6.1997	5.9292	6.0298	5.6591	5.456	5.7389	6.273	6.389	6.1535	5.7535	5.8935	5.9082	6.0692	5.9127	5.9509	5.9077	5.8571	5.8154
AT1G01660	2.4693	2.8078	2.0627	1.8832	1.6682	1.1099	2.5683	2.2449	2.6208	0.5576	0.9064	1.0763	3.0583	2.6938	2.8251	1.4943	1.4763	1.2891	3.3502	2.959	3.085	0.2756	0.5677	0.6942
