lab	length	width	light	y	microbe
FR	0.576	0.442	FR	1.303167421	-M
SCM	0.904	0.693	LP	1.304	+M
SCM	0.769	0.589	LP	1.306	+M
FR	0.204	0.156	FR	1.307692308	-M
FR	0.48	0.367	FR	1.307901907	-M
NC	0.379	0.289	NC	1.311	-M
FR	0.369	0.281	FR	1.31316726	-M
SC	0.5	0.38	LP	1.316	-M
NCM	0.299	0.227	NC	1.317	+M
NCM	0.627	0.475	NC	1.32	+M
FR	0.511	0.387	FR	1.320413437	-M
NC	0.254	0.192	NC	1.323	-M
FR	0.339	0.256	FR	1.32421875	-M
FR	0.485	0.366	FR	1.325136612	-M
NC	0.638	0.481	NC	1.326	-M
FR	0.207	0.156	FR	1.326923077	-M
SCM	0.774	0.583	LP	1.328	+M
SCM	0.336	0.253	LP	1.328	+M
FR	0.507	0.381	FR	1.330708661	-M
SCM	0.345	0.259	LP	1.332	+M
NC	0.404	0.303	NC	1.333	-M
SCM	0.641	0.481	LP	1.333	+M
SCM	0.541	0.406	LP	1.333	+M
NCM	0.478	0.358	NC	1.335	+M
NC	0.493	0.368	NC	1.34	-M
